estado;cidade;marca;modelo;cambio;ano;km;preco;link;faixa_preco;preco_norm;km_norm
AC;Rio Branco;Fiat;Palio Palio Fire 1.0 8V (Flex) 4p manual;Não informado;2013/2013;97000.0;39000.0;https://www.icarros.com.br/comprar/rio-branco-ac/fiat/palio/2013/d53581580?pos=23&hfv=true&financiamento=true;Popular;0.04333384624363947;0.09699016388196659
SC;Jaraguá do Sul;Fiat;Bravo Bravo Essence 1.8 16V (Flex) manual;Não informado;2014/2014;1111.0;39900.0;https://www.icarros.com.br/comprar/jaragua-do-sul-sc/fiat/bravo/2014/d53584947?pos=24&hfv=true;Popular;0.044925636848891316;0.001100013200158402
SP;Catanduva;Volkswagen;Gol Novo Gol 1.0 TEC (Flex) 2p manual;Não informado;2012/2013;32000.0;39900.0;https://www.icarros.com.br/comprar/catanduva-sp/volkswagen/gol/2013/d53552048?pos=26&hfv=true;Popular;0.044925636848891316;0.03198938387260647
MG;Santa Rita do Sapucaí;Volkswagen;Up! Up! 1.0 12v E-Flex white up! I-Motion manual;Não informado;2014/2015;130305.0;43000.0;https://www.icarros.com.br/comprar/santa-rita-do-sapucai-mg/volkswagen/up-/2015/d52495244?pos=28&hfv=true&financiamento=true;Popular;0.050408471155869904;0.13029556354676256
SP;São Paulo;Renault;Sandero Stepway Sandero Stepway 1.6 8V (Flex) manual;Não informado;2012/2013;72896.0;39990.0;https://www.icarros.com.br/comprar/sao-paulo-sp/renault/sandero-stepway/2013/d53591460?pos=27&hfv=true&financiamento=true;Popular;0.0450848159094165;0.07288587463049556
PR;São José dos Pinhais;Ford;Focus Sedan Focus Sedan GL 1.6 16V (Flex) manual;ERRO;2012/2013;141000.0;;https://www.icarros.com.br/comprar/sao-jose-dos-pinhais-pr/ford/focus-sedan/2013/d53589738?pos=29&hfv=true&financiamento=true;;;0.14099069188830265
SP;Campinas;Suzuki;Grand Vitara Grand Vitara 2.0 16V (aut) automático;ERRO;2011/2011;199422.0;;https://www.icarros.com.br/comprar/campinas-sp/suzuki/grand-vitara/2011/d53263533?pos=30&hfv=true&financiamento=true;;;0.19941339296071553
SP;São Paulo;Ford;EcoSport Ecosport Freestyle 1.6 16V (Flex) manual;Não informado;2014/2015;83465.0;54990.0;https://www.icarros.com.br/comprar/sao-paulo-sp/ford/ecosport/2015/d53591095?pos=32&hfv=true&financiamento=true;Popular;0.07161465933028063;0.08345500146001752
PR;Toledo;Volkswagen;Parati Parati Surf 1.6 G4 (Flex) manual;Não informado;2013/2013;117966.0;49900.0;https://www.icarros.com.br/comprar/toledo-pr/volkswagen/parati/2013/d53554012?pos=31&hfv=true&financiamento=true;Popular;0.0626121991294674;0.11795641547698572
RO;Ji-Paraná;Renault;Kwid Kwid 1.0 Zen manual;Não informado;2023/2024;43560.0;56890.0;https://www.icarros.com.br/comprar/ji-parana-ro/renault/kwid/2024/d53463815?pos=34&hfv=false&financiamento=true;Popular;0.07497510616359009;0.04354952259427113
CE;Crateús;Mitsubishi;Pajero TR4 Pajero TR4 2.0 16V 4x4 (flex) (aut) automático;Não informado;2010/2010;54000.0;54990.0;https://www.icarros.com.br/comprar/crateus-ce/mitsubishi/pajero-tr4/2010/d53478363?pos=33&hfv=true&financiamento=true;Popular;0.07161465933028063;0.05398964787577451
GO;Goiânia;Fiat;Strada Strada Working 1.4 (Flex) (Cabine Estendida) manual;Não informado;2013/2014;142585.0;58500.0;https://www.icarros.com.br/comprar/goiania-go/fiat/strada/2014/d53539942?pos=35&hfv=true;Popular;0.07782264269076283;0.1425757109085309
MS;Três Lagoas;Chevrolet;S10 Cabine Dupla S10 Tornado 4x2 2.8 (Cab Dupla) manual;Não informado;2004/2005;524252.0;60000.0;https://www.icarros.com.br/comprar/tres-lagoas-ms/chevrolet/s10-cabine-dupla/2005/d53550246?pos=38&hfv=true&financiamento=true;Popular;0.08047562703284926;0.5242472909674916
RJ;Teresópolis;MINI;Cooper Cooper Chilli 1.6 16V (aut.) automático;ERRO;2010/2011;90000.0;;https://www.icarros.com.br/comprar/teresopolis-rj/mini/cooper/2011/d52852579?pos=36&hfv=true;;;0.08999007988095857
SC;Palhoça;Hyundai;HB20X HB20X Style 1.6 manual;Não informado;2018/2018;70000.0;62900.0;https://www.icarros.com.br/comprar/palhoca-sc/hyundai/hb20x/2018/d52866146?pos=39&hfv=true&financiamento=true;Popular;0.08560473009421632;0.06998983987807854
PR;Curitiba;NISSAN;Sentra Sentra S 2.0 16V (Flex) automático;ERRO;2014/2015;139000.0;;https://www.icarros.com.br/comprar/curitiba-pr/nissan/sentra/2015/d53534576?pos=37&hfv=true&financiamento=true;;;0.13899066788801465
PA;Marabá;Volkswagen;Voyage Voyage 1.0 manual;Não informado;2022/2023;70929.0;63390.0;https://www.icarros.com.br/comprar/maraba-pa/volkswagen/voyage/2023/d53587217?pos=41&hfv=false&financiamento=true;Popular;0.08647137164596455;0.07091885102621232
PA;Belém;Volkswagen;Up! Up! 1.0 12v TSI E-Flex Move Up! manual;Não informado;2017/2018;60874.0;62900.0;https://www.icarros.com.br/comprar/belem-pa/volkswagen/up-/2018/d53579189?pos=40&hfv=true&financiamento=true;Popular;0.08560473009421632;0.060863730364764376
SP;São Paulo;Chevrolet;Tracker Tracker LTZ 1.8 16v (Flex) (Aut) automático;Não informado;2014/2015;98510.0;66890.0;https://www.icarros.com.br/comprar/sao-paulo-sp/chevrolet/tracker/2015/d53594423?pos=42&hfv=true&financiamento=true;Popular;0.09266166844416618;0.09850018200218402
SP;São Paulo;Chevrolet;Onix Plus Onix Plus 1.0 Turbo Premier (Aut) automático;Não informado;2019/2020;94752.0;68990.0;https://www.icarros.com.br/comprar/sao-paulo-sp/chevrolet/onix-plus/2020/d53595833?pos=44&hfv=true&financiamento=true;Popular;0.09637584652308716;0.09474213690564287
PA;Belém;Hyundai;HB20 HB20 1.0 Sense Plus manual;Não informado;2023/2024;46863.0;67490.0;https://www.icarros.com.br/comprar/belem-pa/hyundai/hb20/2024/d53591311?pos=43&hfv=false&financiamento=true;Popular;0.09372286218100075;0.04685256223074677
SC;Florianópolis;Volkswagen;Jetta Jetta 1.4 TSI Trendline Tiptronic automático;Não informado;2016/2016;105388.0;69800.0;https://www.icarros.com.br/comprar/florianopolis-sc/volkswagen/jetta/2016/d53259330?pos=45&hfv=true&financiamento=true;Popular;0.09780845806781381;0.10537826453917447
MG;Juiz de Fora;Citroën;C3 C3 1.0 Live Pack manual;Não informado;2024/2024;16190.0;69900.0;https://www.icarros.com.br/comprar/juiz-de-fora-mg/citroen/c3/2024/d53584505?pos=47&hfv=false;Popular;0.09798532369061957;0.016179194150329805
MG;Belo Horizonte;Audi;Q3 Q3 2.0 TFSI Ambiente S Tronic Quattro automático;Não informado;2013/2013;120000.0;69877.0;https://www.icarros.com.br/comprar/belo-horizonte-mg/audi/q3/2013/d53581958?pos=46&hfv=true&financiamento=true;Popular;0.09794464459737426;0.11999043988527862
SP;Catanduva;Fiat;Cronos Cronos Precision 1.8 E.Torq AT6 (Flex) automático;Não informado;2018/2019;56000.0;69900.0;https://www.icarros.com.br/comprar/catanduva-sp/fiat/cronos/2019/d53512453?pos=48&hfv=true;Popular;0.09798532369061957;0.05598967187606251
SP;São Paulo;Chevrolet;Onix Onix 1.0 Turbo LT manual;Não informado;2023/2023;42297.0;70790.0;https://www.icarros.com.br/comprar/sao-paulo-sp/chevrolet/onix/2023/d53576401?pos=49&hfv=true&financiamento=true;Intermediário;0.09955942773359085;0.04228650743808926
GO;Jataí;Renault;Oroch Duster Oroch 1.6 Express manual;Não informado;2021/2022;130663.0;74900.0;https://www.icarros.com.br/comprar/jatai-go/renault/oroch/2022/d53463997?pos=51&hfv=true&financiamento=true;Intermediário;0.10682860483090763;0.13065356784281412
RS;Santa Cruz do Sul;Volkswagen;Polo Track Polo 1.0 Track (!)1.0 manual;ERRO;2023/2024;42183.0;;https://www.icarros.com.br/comprar/santa-cruz-do-sul-rs/volkswagen/polo-track/2024/d53577075?pos=50&hfv=false&financiamento=true;;;0.04217250607007284
MG;Belo Horizonte;Hyundai;Azera Azera 3.0 V6 (aut) automático;Não informado;2011/2012;113680.0;75900.0;https://www.icarros.com.br/comprar/belo-horizonte-mg/hyundai/azera/2012/d53593322?pos=52&hfv=true&financiamento=true;Intermediário;0.10859726105896524;0.11367036404436853
CE;Juazeiro do Norte;Volkswagen;Saveiro Saveiro 1.6 CD Robust manual;Não informado;2023/2023;38125.0;77490.0;https://www.icarros.com.br/comprar/juazeiro-do-norte-ce/volkswagen/saveiro/2023/d53154337?pos=53&hfv=false&financiamento=true;Intermediário;0.11140942446157683;0.03811445737348848
CE;Juazeiro do Norte;Hyundai;HB20 HB20 1.0 Comfort Plus manual;Não informado;2024/2025;48837.0;78690.0;https://www.icarros.com.br/comprar/juazeiro-do-norte-ce/hyundai/hb20/2025/d53517208?pos=56&hfv=false&financiamento=true;Intermediário;0.11353181193524596;0.04882658591903103
DF;Brasília;NISSAN;Sentra Sentra 2.0 S CVT automático;Não informado;2019/2020;95000.0;77900.0;https://www.icarros.com.br/comprar/brasilia-df/nissan/sentra/2020/d53427686?pos=54&hfv=true;Intermediário;0.11213457351508045;0.09499013988167858
SC;Videira;BMW;Série 1 118i Sport Line 1.6 automático;Não informado;2012/2013;71000.0;78000.0;https://www.icarros.com.br/comprar/videira-sc/bmw/serie-1/2013/d53006758?pos=55&hfv=false;Intermediário;0.1123114391378862;0.07098985187822254
RN;Natal;Hyundai;HB20 HB20 1.0 Comfort Plus manual;Não informado;2024/2025;46840.0;78890.0;https://www.icarros.com.br/comprar/natal-rn/hyundai/hb20/2025/d53586441?pos=57&hfv=false&financiamento=true;Intermediário;0.11388554318085747;0.04682956195474346
CE;Fortaleza;Hyundai;HB20 HB20 1.0 Comfort Plus manual;Não informado;2024/2025;32379.0;79990.0;https://www.icarros.com.br/comprar/fortaleza-ce/hyundai/hb20/2025/d53569272?pos=58&hfv=false&financiamento=true;Intermediário;0.11583106503172085;0.032368388420661046
PA;Belém;Hyundai;HB20 HB20 1.0 Comfort Plus manual;Não informado;2024/2025;28853.0;80390.0;https://www.icarros.com.br/comprar/belem-pa/hyundai/hb20/2025/d53586871?pos=59&hfv=false&financiamento=true;Intermediário;0.1165385275229439;0.028842346108153297
DF;Taguatinga;NISSAN;Kicks Kicks 1.6 SV CVT (Flex) automático;Não informado;2018/2019;61987.0;81970.0;https://www.icarros.com.br/comprar/taguatinga-df/nissan/kicks/2019/d53587579?pos=60&hfv=true&financiamento=true;Intermediário;0.11933300436327492;0.061976743720924654
SC;Itajaí;Chevrolet;Onix Onix 1.0 Turbo LT manual;Não informado;2024/2025;29788.0;82690.0;https://www.icarros.com.br/comprar/itajai-sc/chevrolet/onix/2025/d53567157?pos=61&hfv=false;Intermediário;0.12060643684747639;0.02977735732828794
RO;Porto Velho;Honda;Fit Fit 1.5 EX CVT automático;Não informado;2019/2020;55000.0;86000.0;https://www.icarros.com.br/comprar/porto-velho-ro/honda/fit/2020/d53015564?pos=64&hfv=true&financiamento=true;Intermediário;0.12646068896234708;0.05498965987591851
RJ;Rio de Janeiro;Chevrolet;Onix Onix 1.0 Turbo LT manual;Não informado;2024/2025;28762.0;82990.0;https://www.icarros.com.br/comprar/rio-de-janeiro-rj/chevrolet/onix/2025/d53596139?pos=62&hfv=false&financiamento=true;Intermediário;0.12113703371589367;0.028751345016140194
SP;Catanduva;Fiat;Fiorino Fiorino 1.4 Endurance manual;Não informado;2023/2024;58800.0;84800.0;https://www.icarros.com.br/comprar/catanduva-sp/fiat/fiorino/2024/d52838980?pos=63&hfv=true;Intermediário;0.12433830148867794;0.05878970547646572
RS;Caxias do Sul;Hyundai;HB20S HB20S 1.0 T-GDI Comfort (Aut) automático;Não informado;2023/2024;46190.0;86690.0;https://www.icarros.com.br/comprar/caxias-do-sul-rs/hyundai/hb20s/2024/d53589770?pos=65&hfv=false&financiamento=true;Intermediário;0.12768106175970684;0.04617955415464985
AL;Maceió;Citroën;C4 Cactus C4 Cactus 1.6 Feel (Aut) automático;Não informado;2022/2023;38635.0;87590.0;https://www.icarros.com.br/comprar/maceio-al/citroen/c4-cactus/2023/d53451006?pos=66&hfv=false&financiamento=true;Intermediário;0.12927285236495867;0.038624463493561925
RO;Porto Velho;Citroën;C4 Cactus C4 Cactus 1.6 Feel (Aut) automático;Não informado;2023/2023;32900.0;87890.0;https://www.icarros.com.br/comprar/porto-velho-ro/citroen/c4-cactus/2023/d53476553?pos=67&hfv=false&financiamento=true;Intermediário;0.12980344923337594;0.03288939467273607
SP;São Paulo;Hyundai;Santa Fe Santa Fe 3.3L V6 4x4 5L automático;Não informado;2015/2016;99852.0;87990.0;https://www.icarros.com.br/comprar/sao-paulo-sp/hyundai/santa-fe/2016/d53595912?pos=68&hfv=true&financiamento=true;Intermediário;0.12998031485618172;0.09984219810637728
ES;Serra;Jeep;Renegade Renegade 1.8 Longitude (!)1.8 (Aut) automático;Não informado;2020/2021;76913.0;89900.0;https://www.icarros.com.br/comprar/serra-es/jeep/renegade/2021/d53112493?pos=70&hfv=true&financiamento=true;Intermediário;0.13335844825177176;0.07690292283507402
AM;Manaus;Fiat;Strada Strada 1.3 Cabine Plus Endurance manual;Não informado;2024/2025;6389.0;89990.0;https://www.icarros.com.br/comprar/manaus-am/fiat/strada/2025/d53593671?pos=71&hfv=true&financiamento=true;Intermediário;0.13351762731229694;0.006378076536918443
CE;Fortaleza;Peugeot;208 208 1.6 Active (Aut) automático;ERRO;2023/2024;13479.0;;https://www.icarros.com.br/comprar/fortaleza-ce/peugeot/208/2024/d53575606?pos=69&hfv=false&financiamento=true;;;0.013468161617939416
SC;Itajaí;Peugeot;2008 2008 1.6 Roadtrip (Aut) automático;Não informado;2023/2023;32000.0;89990.0;https://www.icarros.com.br/comprar/itajai-sc/peugeot/2008/2023/d53510208?pos=72&hfv=true&financiamento=true;Intermediário;0.13351762731229694;0.03198938387260647
CE;Juazeiro do Norte;Volkswagen;Saveiro Saveiro 1.6 CS Robust manual;Não informado;2024/2025;14444.0;94190.0;https://www.icarros.com.br/comprar/juazeiro-do-norte-ce/volkswagen/saveiro/2025/d53524300?pos=73&hfv=false&financiamento=true;Intermediário;0.1409459834701389;0.014433173198078377
PA;Belém;Jeep;Renegade Renegade 1.8 Limited (Aut) automático;Não informado;2021/2021;79000.0;96900.0;https://www.icarros.com.br/comprar/belem-pa/jeep/renegade/2021/d52846581?pos=76&hfv=true;Intermediário;0.14573904184817502;0.07898994787937455
RO;Porto Velho;Volkswagen;Polo Polo 1.0 170 TSI Comfortline (Aut) automático;Não informado;2023/2024;30551.0;94690.0;https://www.icarros.com.br/comprar/porto-velho-ro/volkswagen/polo/2024/d53482379?pos=74&hfv=false&financiamento=true;Intermediário;0.1418303115841677;0.030540366484397813
MA;Imperatriz;Jeep;Renegade Renegade 1.3 T270 Sport automático;Não informado;2022/2023;37639.0;95490.0;https://www.icarros.com.br/comprar/imperatriz-ma/jeep/renegade/2023/d53559260?pos=75&hfv=false&financiamento=true;Intermediário;0.14324523656661378;0.037628451541418494
RJ;Teresópolis;Jaguar;XF XF 2.0 GTDI Premium Luxury automático;Não informado;2015/2015;78000.0;104900.0;https://www.icarros.com.br/comprar/teresopolis-rj/jaguar/xf/2015/d52852975?pos=80&hfv=true;Intermediário;0.15988829167263588;0.07798993587923055
SP;São Paulo;Jeep;Renegade Renegade 1.8 Limited (Aut) automático;Não informado;2020/2021;19760.0;96990.0;https://www.icarros.com.br/comprar/sao-paulo-sp/jeep/renegade/2021/d53576120?pos=77&hfv=true&financiamento=true;Intermediário;0.1458982209087002;0.01974923699084389
PR;Ponta Grossa;Fiat;Strada Strada 1.3 Cabine Dupla Volcano manual;Não informado;2022/2023;70500.0;103900.0;https://www.icarros.com.br/comprar/ponta-grossa-pr/fiat/strada/2023/d53582969?pos=79&hfv=true&financiamento=true;Intermediário;0.15811963544457827;0.07048984587815053
MT;Lucas do Rio Verde;Fiat;Toro Toro Freedom 1.8 AT6 4x2 (Flex) automático;Não informado;2019/2020;66000.0;99000.0;https://www.icarros.com.br/comprar/lucas-do-rio-verde-mt/fiat/toro/2020/d53124076?pos=78&hfv=true&financiamento=true;Intermediário;0.14945321992709598;0.06598979187750253
AC;Rio Branco;Volkswagen;Virtus Virtus 1.4 250 TSI GTS (Aut) automático;Não informado;2021/2021;81000.0;109000.0;https://www.icarros.com.br/comprar/rio-branco-ac/volkswagen/virtus/2021/d53537601?pos=83&hfv=true&financiamento=true;Intermediário;0.1671397822076721;0.08098997187966256
