estado;cidade;marca;modelo;cambio;ano;km;preco;link;faixa_preco;preco_norm;km_norm
SP;Guarulhos;Jeep;Renegade Renegade 1.8 Longitude (Aut) automático;Não informado;2019/2020;62000.0;78900.0;https://www.icarros.com.br/comprar/guarulhos-sp/jeep/renegade/2020/d53476658?pos=236&hfv=true&financiamento=true;Intermediário;0.11390322974313806;0.061989743876926524
SC;Itajaí;Hyundai;HB20 HB20 1.0 Comfort Plus manual;ERRO;2024/2025;32766.0;;https://www.icarros.com.br/comprar/itajai-sc/hyundai/hb20/2025/d53504494?pos=237&hfv=false;;;0.032755393064716774
PB;Campina Grande;Hyundai;HB20 HB20 1.0 Comfort Plus manual;Não informado;2024/2025;30267.0;80190.0;https://www.icarros.com.br/comprar/campina-grande-pb/hyundai/hb20/2025/d53582249?pos=238&hfv=false&financiamento=true;Intermediário;0.11618479627733237;0.030256363076356915
AL;Maceió;Fiat;Fiorino Fiorino 1.4 Endurance manual;Não informado;2022/2022;68702.0;83890.0;https://www.icarros.com.br/comprar/maceio-al/fiat/fiorino/2022/d53596603?pos=240&hfv=false&financiamento=true;Intermediário;0.12272882432114553;0.06869182430189162
GO;Luziânia;Volkswagen;Virtus Virtus 1.6 MSI (Flex) (Aut) automático;Não informado;2020/2020;152000.0;81900.0;https://www.icarros.com.br/comprar/luziania-go/volkswagen/virtus/2020/d53535795?pos=239&hfv=true&financiamento=true;Intermediário;0.11920919842731088;0.1519908238898867
SC;São José;Volkswagen;Virtus Virtus 200 TSI Highline (Flex) (Aut) manual;Não informado;2018/2019;117000.0;84900.0;https://www.icarros.com.br/comprar/sao-jose-sc/volkswagen/virtus/2019/d53407648?pos=243&hfv=true;Intermediário;0.12451516711148371;0.11699040388484662
SC;Florianópolis;Toyota;Yaris Hatch Yaris 1.5 XS CVT (Flex) automático;Não informado;2019/2019;81000.0;83900.0;https://www.icarros.com.br/comprar/florianopolis-sc/toyota/yaris-hatch/2019/d53238215?pos=241&hfv=true;Intermediário;0.1227465108834261;0.08098997187966256
MG;Belo Horizonte;Volkswagen;Polo Track Polo 1.0 Track manual;Não informado;2024/2025;19100.0;84900.0;https://www.icarros.com.br/comprar/belo-horizonte-mg/volkswagen/polo-track/2025/d53593352?pos=242&hfv=true&financiamento=true;Intermediário;0.12451516711148371;0.01908922907074885
SC;Balneário Camboriú;Volkswagen;Virtus Virtus 1.6 Sense (Aut) automático;Não informado;2020/2021;32500.0;87900.0;https://www.icarros.com.br/comprar/balneario-camboriu-sc/volkswagen/virtus/2021/d53110129?pos=245&hfv=true&financiamento=true;Intermediário;0.12982113579565654;0.03248938987267847
RN;Mossoró;Chevrolet;Onix Onix 1.0 Turbo LTZ (Aut) automático;Não informado;2023/2024;52400.0;84990.0;https://www.icarros.com.br/comprar/mossoro-rn/chevrolet/onix/2024/d53096918?pos=244&hfv=false&financiamento=true;Intermediário;0.1246743461720089;0.05238962867554411
CE;Fortaleza;Mitsubishi;ASX ASX 2.0 CVT automático;Não informado;2018/2019;64271.0;88900.0;https://www.icarros.com.br/comprar/fortaleza-ce/mitsubishi/asx/2019/d53565833?pos=246&hfv=true&financiamento=true;Intermediário;0.13158979202371415;0.06426077112925355
GO;Luziânia;Honda;HR-V HR-V EX CVT 1.8 I-VTEC FlexOne automático;Não informado;2015/2016;150000.0;92900.0;https://www.icarros.com.br/comprar/luziania-go/honda/hr-v/2016/d53536691?pos=247&hfv=true&financiamento=true;Intermediário;0.13866441693594458;0.14999079988959868
BA;Vitória da Conquista;Hyundai;HB20 HB20 1.0 T-GDI Comfort (Aut) automático;Não informado;2023/2024;23544.0;93090.0;https://www.icarros.com.br/comprar/vitoria-da-conquista-ba/hyundai/hb20/2024/d53541548?pos=248&hfv=false&financiamento=true;Intermediário;0.1390004616192755;0.023533282399388792
SC;Chapecó;Volkswagen;Virtus Virtus 1.0 170 TSI (Aut) manual;Não informado;2023/2024;3344.0;94590.0;https://www.icarros.com.br/comprar/chapeco-sc/volkswagen/virtus/2024/d53573097?pos=249&hfv=false&financiamento=true;Intermediário;0.14165344596136192;0.003333039996479958
PR;Cambé;Volkswagen;Fusca Fusca 2.0 TSi Sport DSG automático;Não informado;2012/2013;85261.0;95900.0;https://www.icarros.com.br/comprar/cambe-pr/volkswagen/fusca/2013/d53359830?pos=252&hfv=true&financiamento=true;Intermediário;0.1439703856201174;0.08525102301227615
GO;Jataí;Hyundai;Creta Creta 1.6 Action (Aut) automático;Não informado;2021/2021;60000.0;94900.0;https://www.icarros.com.br/comprar/jatai-go/hyundai/creta/2021/d53373563?pos=250&hfv=true&financiamento=true;Intermediário;0.1422017293920598;0.05998971987663852
RS;Santa Maria;Audi;Q3 Q3 1.4 TFSI Ambiente S Tronic automático;Não informado;2015/2016;96491.0;94900.0;https://www.icarros.com.br/comprar/santa-maria-rs/audi/q3/2016/d53142625?pos=251&hfv=true&financiamento=true;Intermediário;0.1422017293920598;0.09648115777389328
MA;São Luís;Audi;A3 Sedan A3 Sedan 1.8 TFSI Ambition S Tronic automático;Não informado;2014/2014;44239.0;95990.0;https://www.icarros.com.br/comprar/sao-luis-ma/audi/a3-sedan/2014/d52565738?pos=253&hfv=true&financiamento=true;Intermediário;0.14412956468064259;0.04422853074236891
SP;Franca;Dodge;Journey Journey RT 3.6 V6 automático;Não informado;2017/2018;60000.0;97900.0;https://www.icarros.com.br/comprar/franca-sp/dodge/journey/2018/d53466917?pos=255&hfv=true&financiamento=true;Intermediário;0.14750769807623262;0.05998971987663852
RJ;Rio de Janeiro;Jeep;Compass Compass 2.0 Longitude (Aut) automático;Não informado;2020/2021;59745.0;96900.0;https://www.icarros.com.br/comprar/rio-de-janeiro-rj/jeep/compass/2021/d53590802?pos=254&hfv=true&financiamento=true;Intermediário;0.14573904184817502;0.0597347168166018
MG;Belo Horizonte;Audi;Q3 Q3 1.4 TFSI Ambiente S Tronic (Flex) automático;Não informado;2018/2018;126000.0;99990.0;https://www.icarros.com.br/comprar/belo-horizonte-mg/audi/q3/2018/d53565050?pos=257&hfv=true&financiamento=true;Intermediário;0.15120418959287302;0.12599051188614263
MA;Imperatriz;Volkswagen;Polo Polo 1.0 170 TSI Comfortline (Aut) automático;Não informado;2024/2024;10686.0;98890.0;https://www.icarros.com.br/comprar/imperatriz-ma/volkswagen/polo/2024/d53465037?pos=256&hfv=false&financiamento=true;Intermediário;0.14925866774200966;0.010675128101537219
TO;Palmas;NISSAN;Kicks Kicks 1.6 Sense CVT automático;Não informado;2023/2023;26492.0;103990.0;https://www.icarros.com.br/comprar/palmas-to/nissan/kicks/2023/d53462776?pos=260&hfv=false&financiamento=true;Intermediário;0.15827881450510345;0.02648131777581331
PA;Belém;Audi;Q3 Q3 1.4 TFSI Ambiente S Tronic (Flex) automático;Não informado;2017/2017;54982.0;99990.0;https://www.icarros.com.br/comprar/belem-pa/audi/q3/2017/d53413456?pos=258&hfv=true&financiamento=true;Intermediário;0.15120418959287302;0.05497165965991592
SP;Sorocaba;Renault;Captur Captur 1.3 TCe Intense CVT automático;Não informado;2022/2023;49000.0;102900.0;https://www.icarros.com.br/comprar/sorocaba-sp/renault/captur/2023/d53247561?pos=259&hfv=true&financiamento=true;Intermediário;0.15635097921652066;0.0489895878750545
MT;Cuiabá;Toyota;Yaris Hatch Yaris 1.5 XLS Connect CVT automático;Não informado;2023/2023;19000.0;106990.0;https://www.icarros.com.br/comprar/cuiaba-mt/toyota/yaris-hatch/2023/d53447096?pos=263&hfv=true;Intermediário;0.16358478318927627;0.018989227870734447
DF;Brasília;Hyundai;Tucson New Tucson Limited 1.6 GDI Turbo (Aut) automático;Não informado;2018/2019;77300.0;105890.0;https://www.icarros.com.br/comprar/brasilia-df/hyundai/tucson/2019/d53572916?pos=262&hfv=true&financiamento=true;Intermediário;0.16163926133841292;0.07728992747912974
RN;Natal;Fiat;Pulse Pulse 1.0 Turbo 200 Audace (Aut) automático;Não informado;2023/2024;31166.0;104390.0;https://www.icarros.com.br/comprar/natal-rn/fiat/pulse/2024/d53594637?pos=261&hfv=false&financiamento=true;Intermediário;0.1589862769963265;0.031155373864486375
SC;Palhoça;MINI;Cooper Cooper S Top (Aut) automático;Não informado;2013/2013;86000.0;108900.0;https://www.icarros.com.br/comprar/palhoca-sc/mini/cooper/2013/d53339340?pos=265&hfv=true&financiamento=true;Intermediário;0.1669629165848663;0.08599003188038257
SP;Sorocaba;Jeep;Renegade Renegade Trailhawk 2.0 TDI 4WD (Aut) automático;Não informado;2018/2019;131783.0;107900.0;https://www.icarros.com.br/comprar/sorocaba-sp/jeep/renegade/2019/d53128342?pos=264&hfv=true&financiamento=true;Intermediário;0.1651942603568087;0.1317735812829754
SP;Sorocaba;Chevrolet;Cruze Cruze Premier 1.4 Ecotec (Aut) automático;Não informado;2022/2022;33640.0;109500.0;https://www.icarros.com.br/comprar/sorocaba-sp/chevrolet/cruze/2022/d53586216?pos=267&hfv=false&financiamento=true;Intermediário;0.1680241103217009;0.033629403552842635
PA;Belém;Volkswagen;Polo Polo 1.0 170 TSI Comfortline (Aut) automático;Não informado;2024/2025;23867.0;109290.0;https://www.icarros.com.br/comprar/belem-pa/volkswagen/polo/2025/d53461968?pos=266&hfv=false&financiamento=true;Intermediário;0.1676526925138088;0.023856286275435304
RN;Parnamirim;Chevrolet;Tracker Tracker 1.2 Turbo Premier PDF (Aut) automático;Não informado;2022/2023;42455.0;109990.0;https://www.icarros.com.br/comprar/parnamirim-rn/chevrolet/tracker/2023/d53284685?pos=268&hfv=true;Intermediário;0.1688907518734491;0.04244450933411201
PR;Curitiba;BMW;X1 X1 2.0 sDrive20i GP ActiveFlex automático;Não informado;2018/2018;89650.0;114990.0;https://www.icarros.com.br/comprar/curitiba-pr/bmw/x1/2018/d53591900?pos=269&hfv=true&financiamento=true;Intermediário;0.17773403301373716;0.08964007568090818
BA;Salvador;NISSAN;Kicks Kicks 1.6 Advance CVT automático;Não informado;2023/2024;29708.0;115390.0;https://www.icarros.com.br/comprar/salvador-ba/nissan/kicks/2024/d53576657?pos=270&hfv=false&financiamento=true;Intermediário;0.1784414955049602;0.02969735636827642
BA;Paulo Afonso;NISSAN;Kicks Kicks 1.6 Advance CVT automático;Não informado;2023/2024;36850.0;115900.0;https://www.icarros.com.br/comprar/paulo-afonso-ba/nissan/kicks/2024/d53397418?pos=271&hfv=true&financiamento=true;Intermediário;0.17934351018126957;0.03683944207330488
MA;Imperatriz;Volkswagen;Nivus Nivus 1.0 200 TSI Highline automático;Não informado;2023/2024;42015.0;118490.0;https://www.icarros.com.br/comprar/imperatriz-ma/volkswagen/nivus/2024/d53555334?pos=272&hfv=false&financiamento=true;Intermediário;0.1839243298119388;0.042004504054048646
SP;Jundiaí;Fiat;Strada Strada 1.3 Cabine Dupla Ranch (Aut) automático;Não informado;2023/2023;32000.0;119990.0;https://www.icarros.com.br/comprar/jundiai-sp/fiat/strada/2023/d53592852?pos=274&hfv=true&financiamento=true;Intermediário;0.1865773141540252;0.03198938387260647
MA;Imperatriz;Chevrolet;Tracker Tracker 1.0 Turbo (Aut) automático;Não informado;2024/2025;28665.0;118990.0;https://www.icarros.com.br/comprar/imperatriz-ma/chevrolet/tracker/2025/d53536133?pos=273&hfv=false&financiamento=true;Intermediário;0.1848086579259676;0.028654343852126226
PA;Ananindeua;Fiat;Fastback Fastback 1.0 Turbo 200 Audace (Aut) automático;Não informado;2023/2024;40000.0;121000.0;https://www.icarros.com.br/comprar/ananindeua-pa/fiat/fastback/2024/d53416392?pos=275&hfv=true&financiamento=true;Premium;0.18836365694436338;0.039989479873758484
PR;Curitiba;Peugeot;3008 3008 1.6 THP Griffe Pack automático;Não informado;2019/2020;56843.0;121990.0;https://www.icarros.com.br/comprar/curitiba-pr/peugeot/3008/2020/d53501241?pos=277&hfv=true&financiamento=true;Premium;0.19011462661014042;0.05683268199218391
PA;Belém;Mitsubishi;Outlander Sport Outlander Sport 2.0 HPE automático;Não informado;2020/2021;36000.0;121990.0;https://www.icarros.com.br/comprar/belem-pa/mitsubishi/outlander-sport/2021/d52280868?pos=276&hfv=true&financiamento=true;Premium;0.19011462661014042;0.03598943187318248
BA;Vitória da Conquista;Volkswagen;T-Cross T-Cross 1.0 200 TSI Comfortline (Aut) automático;Não informado;2023/2024;23004.0;124390.0;https://www.icarros.com.br/comprar/vitoria-da-conquista-ba/volkswagen/t-cross/2024/d53524548?pos=278&hfv=false&financiamento=true;Premium;0.19435940155747866;0.02299327591931103
SC;Caçador;Fiat;Strada Strada 1.3 Cabine Dupla Ranch (Aut) automático;Não informado;2022/2023;30115.0;125990.0;https://www.icarros.com.br/comprar/cacador-sc/fiat/strada/2023/d52886933?pos=279&hfv=true&financiamento=true;Premium;0.19718925152237085;0.030104361252335027
CE;Pacajus;Chevrolet;TrailBlazer TrailBlazer 2.8 TD LTZ 4WD (Aut) automático;Não informado;2013/2013;164000.0;126900.0;https://www.icarros.com.br/comprar/pacajus-ce/chevrolet/trailblazer/2013/d53391815?pos=280&hfv=true&financiamento=true;Premium;0.19879872868990328;0.1639909678916147
MG;Patos de Minas;Ford;Territory Territory Titanium 1.5 Turbo Ecoboost GTDI automático;Não informado;2020/2021;40300.0;129800.0;https://www.icarros.com.br/comprar/patos-de-minas-mg/ford/territory/2021/d53154688?pos=281&hfv=true&financiamento=true;Premium;0.20392783175127033;0.040289483473801686
PA;Belém;Volkswagen;Fusca Fusca 2.0 TSi Sport DSG manual;Não informado;2012/2013;37900.0;129900.0;https://www.icarros.com.br/comprar/belem-pa/volkswagen/fusca/2013/d53391719?pos=282&hfv=true&financiamento=true;Premium;0.2041046973740761;0.03788945467345608
CE;Juazeiro do Norte;Hyundai;Creta N Line Creta 1.0 T-GDI N Line (Aut) automático;Não informado;2023/2023;36000.0;139900.0;https://www.icarros.com.br/comprar/juazeiro-do-norte-ce/hyundai/creta-n-line/2023/d53302698?pos=283&hfv=true&financiamento=true;Premium;0.22179125965465218;0.03598943187318248
PA;Ananindeua;Hyundai;Creta Creta 1.0 T-GDI Platinum Safety (Aut) automático;Não informado;2024/2025;26079.0;156590.0;https://www.icarros.com.br/comprar/ananindeua-pa/hyundai/creta/2025/d53344174?pos=286&hfv=false&financiamento=true;Premium;0.25131013210093367;0.026068312819753837
SC;São José;Iveco;Daily Daily 3.0 35S14 CD 3750 manual;Não informado;2016/2016;146000.0;159900.0;https://www.icarros.com.br/comprar/sao-jose-sc/iveco/daily/2016/d53531493?pos=287&hfv=true&financiamento=true;Premium;0.25716438421580434;0.14599075188902266
SC;Itajaí;Volkswagen;Nivus Nivus 1.0 200 TSI Highline (Aut) manual;Não informado;2025/2025;6332.0;154990.0;https://www.icarros.com.br/comprar/itajai-sc/volkswagen/nivus/2025/d53468149?pos=284&hfv=true&financiamento=true;Premium;0.2484802821360415;0.006321075852910235
PR;Ponta Grossa;Ford;Maverick Maverick Lariat FX4 2.0 4WD automático;Não informado;2021/2022;36721.0;162900.0;https://www.icarros.com.br/comprar/ponta-grossa-pr/ford/maverick/2022/d53074036?pos=288&hfv=true&financiamento=true;Premium;0.26247035289997717;0.036710440525286304
MA;São Luís;Jeep;Compass Compass 1.3 T270 Limited automático;ERRO;2023/2023;19826.0;;https://www.icarros.com.br/comprar/sao-luis-ma/jeep/compass/2023/d53076255?pos=285&hfv=true;;;0.019815237782853393
RO;Porto Velho;Ford;Bronco Bronco Sport 2.0 Wildtrak 4WD (Aut) automático;Não informado;2024/2024;12500.0;224900.0;https://www.icarros.com.br/comprar/porto-velho-ro/ford/bronco/2024/d53230061?pos=290&hfv=true&financiamento=true;Premium;0.3721270390395489;0.012489149869798438
SC;Itajaí;Mercedes-Benz;EQC EQC 80kWh 400 4MATIC automático;Não informado;2020/2020;38000.0;299900.0;https://www.icarros.com.br/comprar/itajai-sc/mercedes-benz/eqc/2020/d53540577?pos=292&hfv=true&financiamento=true;Premium;0.5047762561438696;0.03798945587347048
RJ;Rio de Janeiro;GWM;H6 Haval H6 1.5T PHEV Premium DHT AWD (aut) automático;Não informado;2024/2025;30114.0;252590.0;https://www.icarros.com.br/comprar/rio-de-janeiro-rj/gwm/h6/2025/d53368791?pos=291&hfv=false;Premium;0.4211011299944641;0.030103361240334883
SP;São Paulo;Troller;T4 T4 3.2 XLT 4WD (Aut) automático;Não informado;2020/2020;48000.0;199000.0;https://www.icarros.com.br/comprar/sao-paulo-sp/troller/t4/2020/d53151461?pos=289&hfv=true&financiamento=true;Premium;0.3263188427328569;0.0479895758749105
PA;Belém;BMW;X4 X4 3.0 M40i automático;Não informado;2022/2022;16000.0;499000.0;https://www.icarros.com.br/comprar/belem-pa/bmw/x4/2022/d52846770?pos=295&hfv=true;Premium;0.8569157111501394;0.015989191870302445
PA;Ananindeua;Toyota;SW4 SW4 2.8 TDI SRX 7L 4WD automático;Não informado;2022/2022;56000.0;305000.0;https://www.icarros.com.br/comprar/ananindeua-pa/toyota/sw4/2022/d53391496?pos=293&hfv=true&financiamento=true;Premium;0.5137964029069634;0.05598967187606251
SP;Sorocaba;Land;Rover Defender 130 Defender 130 S 2.4 (Cab Dupla) manual;Não informado;2008/2008;51000.0;350000.0;https://www.icarros.com.br/comprar/sorocaba-sp/land-rover/defender-130/2008/d52491044?pos=294&hfv=true&financiamento=true;Premium;0.5933859331695558;0.050989611875342504
SP;Catanduva;Ford;EcoSport Ecosport Freestyle 1.6 16V (Flex) manual;Não informado;2014/2014;154500.0;57800.0;https://www.icarros.com.br/comprar/catanduva-sp/ford/ecosport/2014/d53151292?pos=296&hfv=true;Popular;0.07658458333112252;0.1544908538902467
SP;Catanduva;Fiat;Argo Argo 1.3 Trekking manual;Não informado;2019/2020;46600.0;72900.0;https://www.icarros.com.br/comprar/catanduva-sp/fiat/argo/2020/d53093585?pos=298&hfv=true;Intermediário;0.1032912923747924;0.046589559074708894
SC;Caçador;Renault;Sandero Stepway Sandero Stepway 1.0 Zen manual;Não informado;2023/2024;22000.0;76900.0;https://www.icarros.com.br/comprar/cacador-sc/renault/sandero-stepway/2024/d52798958?pos=299&hfv=true&financiamento=true;Intermediário;0.11036591728702284;0.021989263871166453
SC;Itajaí;Volkswagen;Polo Track Polo 1.0 Track manual;Não informado;2024/2025;40309.0;83090.0;https://www.icarros.com.br/comprar/itajai-sc/volkswagen/polo-track/2025/d53567710?pos=300&hfv=false;Intermediário;0.12131389933869943;0.040298483581802984
SP;Catanduva;Hyundai;HB20S HB20S 1.6 Comfort Plus (Aut) automático;Não informado;2016/2016;116600.0;60800.0;https://www.icarros.com.br/comprar/catanduva-sp/hyundai/hb20s/2016/d53148524?pos=297&hfv=true;Popular;0.08189055201529534;0.11659039908478902
MS;Três Lagoas;Toyota;Corolla Corolla 2.0 XEi Multi-Drive S (Flex) automático;Não informado;2018/2019;139160.0;105000.0;https://www.icarros.com.br/comprar/tres-lagoas-ms/toyota/corolla/2019/d53078844?pos=301&hfv=true&financiamento=true;Intermediário;0.16006515729544163;0.1391506698080377
SP;São José do Rio Preto;Honda;HR-V HR-V 1.8 EXL CVT automático;Não informado;2020/2020;78000.0;111900.0;https://www.icarros.com.br/comprar/sao-jose-do-rio-preto-sp/honda/hr-v/2020/d53091404?pos=302&hfv=true&financiamento=true;Intermediário;0.17226888526903913;0.07798993587923055
PA;Castanhal;Hyundai;Creta Creta 1.0 T-GDI Limited (Aut) automático;Não informado;2021/2022;67000.0;120000.0;https://www.icarros.com.br/comprar/castanhal-pa/hyundai/creta/2022/d52963763?pos=304&hfv=true;Premium;0.18659500071630578;0.06698980387764653
SC;Florianópolis;Jeep;Compass Compass 2.0 TDI Longitude 4WD automático;Não informado;2021/2021;100.0;119900.0;https://www.icarros.com.br/comprar/florianopolis-sc/jeep/compass/2021/d52914226?pos=303&hfv=true&financiamento=true;Intermediário;0.1864181350935;8.900106801281615e-05
PR;Curitiba;CAOA;Chery Tiggo 7 PRO Tiggo 7 PRO 1.6 Turbo GDI DCT automático;Não informado;2021/2022;17264.0;147900.0;https://www.icarros.com.br/comprar/curitiba-pr/caoa-chery/tiggo-7-pro/2022/d53546166?pos=305&hfv=true&financiamento=true;Premium;0.23594050947911305;0.01725320703848446
CE;Fortaleza;Toyota;Hilux Cabine Dupla Hilux 2.8 TDI SRX CD 4x4 (Aut) automático;Não informado;2015/2016;162000.0;175000.0;https://www.icarros.com.br/comprar/fortaleza-ce/toyota/hilux-cabine-dupla/2016/d53422136?pos=306&hfv=true;Premium;0.28387109325947424;0.1619909438913267
SP;São Paulo;Honda;Civic New Civic LXS 1.8 16V (Aut) (Flex2) automático;Não informado;2007/2008;170000.0;47900.0;https://www.icarros.com.br/comprar/sao-paulo-sp/honda/civic/2008/d53554830?pos=307&hfv=true&financiamento=true;Popular;0.05907488667335219;0.1699910398924787
PA;Belém;Chevrolet;Tracker Tracker Midnight 1.4 16V Ecotec (Flex) (Aut) automático;Não informado;2019/2019;90000.0;92900.0;https://www.icarros.com.br/comprar/belem-pa/chevrolet/tracker/2019/d53290027?pos=308&hfv=true&financiamento=true;Intermediário;0.13866441693594458;0.08999007988095857
PA;Castanhal;Fiat;Strada Strada 1.3 Cabine Dupla Volcano automático;Não informado;2021/2022;35000.0;110000.0;https://www.icarros.com.br/comprar/castanhal-pa/fiat/strada/2022/d53416354?pos=309&hfv=true&financiamento=true;Intermediário;0.1689084384357297;0.034989419873038476
MT;Lucas do Rio Verde;Toyota;SW4 Hilux SW4 3.0 TDI 4x4 SRV 7L automático;Não informado;2015/2015;167000.0;153000.0;https://www.icarros.com.br/comprar/lucas-do-rio-verde-mt/toyota/sw4/2015/d53337972?pos=310&hfv=true&financiamento=true;Premium;0.24496065624220686;0.1669910038920467
SP;Diadema;Citroën;C3 Picasso C3 Picasso Tendance 1.6 16V (Flex) (Aut) automático;Não informado;2014/2015;109000.0;43900.0;https://www.icarros.com.br/comprar/diadema-sp/citroen/c3-picasso/2015/d53121842?pos=312&hfv=true;Popular;0.052000261761121755;0.1089903078836946
CE;Fortaleza;Toyota;Hilux Cabine Dupla Hilux 2.8 TDI SRV CD 4x4 (Aut) automático;Não informado;2017/2017;120106.0;182000.0;https://www.icarros.com.br/comprar/fortaleza-ce/toyota/hilux-cabine-dupla/2017/d53432288?pos=311&hfv=true&financiamento=true;Premium;0.2962516868558775;0.12009644115729388
MS;Três Lagoas;Chevrolet;Cruze Cruze LT 1.8 16V Ecotec (Aut)(Flex) automático;Não informado;2014/2014;151000.0;62000.0;https://www.icarros.com.br/comprar/tres-lagoas-ms/chevrolet/cruze/2014/d53550156?pos=313&hfv=true&financiamento=true;Popular;0.08401293948896447;0.15099081188974267
CE;Juazeiro do Norte;Ford;Ranger Cabine Dupla Ranger 2.2 TD XL CD 4x4 manual;Não informado;2018/2019;138000.0;125000.0;https://www.icarros.com.br/comprar/juazeiro-do-norte-ce/ford/ranger-cabine-dupla/2019/d52628823?pos=314&hfv=true&financiamento=true;Premium;0.19543828185659382;0.13799065588787066
SP;São Paulo;Land;Rover Discovery Sport Discovery Sport 2.0 Si4 HSE 4WD automático;Não informado;2017/2018;79000.0;134900.0;https://www.icarros.com.br/comprar/sao-paulo-sp/land-rover/discovery-sport/2018/d49317190?pos=315&hfv=true&financiamento=true;Premium;0.21294797851436414;0.07898994787937455
SP;Matão;Citroën;C3 C3 Exclusive 1.6 16V (flex) automático;Não informado;2009/2010;153670.0;31000.0;https://www.icarros.com.br/comprar/matao-sp/citroen/c3/2010/d53296261?pos=316&hfv=true&financiamento=true;Popular;0.0291845964191786;0.15366084393012716
SP;Suzano;NISSAN;Kicks Kicks 1.6 Sense CVT automático;Não informado;2023/2024;29374.0;104900.0;https://www.icarros.com.br/comprar/suzano-sp/nissan/kicks/2024/d53141563?pos=319&hfv=true&financiamento=true;Intermediário;0.15988829167263588;0.02936335236022832
BA;Vitória da Conquista;NISSAN;Versa Versa 1.6 16V Unique CVT (Flex) automático;ERRO;2017/2018;86000.0;;https://www.icarros.com.br/comprar/vitoria-da-conquista-ba/nissan/versa/2018/d52998957?pos=317&hfv=true&financiamento=true;;;0.08599003188038257
RJ;Cachoeiras de Macacu;Toyota;Yaris Hatch Yaris 1.5 X-Way Connect CVT automático;Não informado;2021/2022;27037.0;90900.0;https://www.icarros.com.br/comprar/cachoeiras-de-macacu-rj/toyota/yaris-hatch/2022/d53341625?pos=318&hfv=true&financiamento=true;Intermediário;0.13512710447982937;0.02702632431589179
SP;Americana;Renault;Captur Captur Life 1.6 CVT automático;Não informado;2018/2019;72135.0;71990.0;https://www.icarros.com.br/comprar/americana-sp/renault/captur/2019/d53227135?pos=320&hfv=true;Intermediário;0.10168181520725998;0.07212486549838598
RJ;Nova Iguaçu;Volkswagen;Nivus Nivus 1.0 200 TSI Comfortline automático;Não informado;2023/2024;16698.0;110900.0;https://www.icarros.com.br/comprar/nova-iguacu-rj/volkswagen/nivus/2024/d52933437?pos=321&hfv=true&financiamento=true;Intermediário;0.17050022904098153;0.016687200246402956
SP;Franca;Mercedes-Benz;Classe C Sedã C 180 CGI Classic automático;Não informado;2012/2012;103000.0;69900.0;https://www.icarros.com.br/comprar/franca-sp/mercedes-benz/classe-c-seda/2012/d53158051?pos=323&hfv=true&financiamento=true;Popular;0.09798532369061957;0.1029902358828306
PR;Curitiba;BMW;X1 X1 2.0 sDrive20i GP ActiveFlex automático;Não informado;2021/2022;51307.0;173900.0;https://www.icarros.com.br/comprar/curitiba-pr/bmw/x1/2022/d53150806?pos=322&hfv=true&financiamento=true;Premium;0.28192557140861085;0.051296615559386714
GO;Rio Verde;Fiat;Uno Uno Way 1.4 8V (Flex) 4p manual;Não informado;2010/2011;181300.0;31990.0;https://www.icarros.com.br/comprar/rio-verde-go/fiat/uno/2011/d52793015?pos=324&hfv=true&financiamento=true;Popular;0.030935566084955634;0.18129117549410592
SP;Mogi das Cruzes;Renault;Sandero Sandero 1.6 Intense X-Tronic (Aut) automático;Não informado;2019/2020;68330.0;65900.0;https://www.icarros.com.br/comprar/mogi-das-cruzes-sp/renault/sandero/2020/d53119169?pos=327&hfv=true&financiamento=true;Popular;0.09091069877838914;0.06831981983783805
CE;Quixadá;Chevrolet;Tracker Tracker LTZ 1.4 16V Ecotec (Flex) (Aut) automático;Não informado;2016/2017;200.0;84900.0;https://www.icarros.com.br/comprar/quixada-ce/chevrolet/tracker/2017/d53416706?pos=325&hfv=true&financiamento=true;Intermediário;0.12451516711148371;0.00018900226802721632
PA;Santarém;Chevrolet;Onix Onix 1.4 LTZ SPE/4 manual;ERRO;2015/2015;120170.0;;https://www.icarros.com.br/comprar/santarem-pa/chevrolet/onix/2015/d53479645?pos=326&hfv=true&financiamento=true;;;0.1201604419253031
SP;São José do Rio Preto;Fiat;Palio Palio Attractive 1.0 Evo (Flex) manual;Não informado;2016/2017;79858.0;44900.0;https://www.icarros.com.br/comprar/sao-jose-do-rio-preto-sp/fiat/palio/2017/d53484019?pos=328&hfv=true;Popular;0.05376891798917936;0.07984795817549811
SP;São Paulo;Renault;Sandero Sandero 1.6 Zen manual;Não informado;2020/2021;114291.0;63900.0;https://www.icarros.com.br/comprar/sao-paulo-sp/renault/sandero/2021/d53095418?pos=329&hfv=true&financiamento=true;Popular;0.08737338632227393;0.11428137137645651
GO;Goiânia;Volkswagen;Fusca Fusca 1300 manual;Não informado;1976/1976;467.0;33800.0;https://www.icarros.com.br/comprar/goiania-go/volkswagen/fusca/1976/d53341105?pos=332&hfv=true;Popular;0.034136833857739905;0.00045600547206566477
SP;São Paulo;Fiat;Toro Toro Endurance 2.0 TDI 4X4 automático;Não informado;2019/2020;102303.0;99900.0;https://www.icarros.com.br/comprar/sao-paulo-sp/fiat/toro/2020/d53098069?pos=330&hfv=true&financiamento=true;Intermediário;0.15104501053234784;0.10229322751873023
